Video,BlinkRate,AvgClosureDegree,MaxClosureFrames,ValidDuration,Blinks,Duration,Yawns,GroundTruth
IMG_8674_01.avi,1.0,0.265130494,57,4.0,4,4.0,0,True
IMG_8686_00.avi,1.5,0.231813894,45,4.0,6,4.0,0,False
IMG_8686_01.avi,1.0,0.236534329,54,4.0,4,4.0,0,False
IMG_8744_02.avi,1.25,0.303687621,9,4.0,5,4.0,0,True
IMG_8744_03.avi,2.75,0.271019702,30,4.0,11,4.0,0,True
IMG_8744_04.avi,1.260504202,0.270345761,41,3.966666667,5,4.0,0,True
IMG_8744_05.avi,2.0,0.263304263,17,4.0,8,4.0,0,True
IMG_8744_06.avi,1.5384615380000002,0.24960140600000005,24,3.9,6,4.0,0,True
IMG_8744_07.avi,0.5,0.247977601,69,4.0,2,4.0,0,True
IMG_8752_24.avi,2.0,0.305930712,8,4.0,8,4.0,0,True
IMG_8752_25.avi,2.0,0.285016487,19,4.0,8,4.0,0,True
IMG_8752_29.avi,1.0,0.249695957,37,4.0,4,4.0,0,True
